gene,annotation,loeuf_quintile,analysis_stratum,case_count,case_rate,N
SYNTHETIC_GENE_077,PTV_like,2,LOEUF2,1,1.48633114367272e-05,15000
SYNTHETIC_GENE_078,PTV_like,3,LOEUF3,0,1.11462417155826e-05,15000
SYNTHETIC_GENE_079,PTV_like,4,LOEUF4,1,1.16536399295875e-05,15000
SYNTHETIC_GENE_080,PTV_like,5,LOEUF5,0,3.54334564535372e-06,15000
SYNTHETIC_GENE_081,PTV_like,1,LOEUF1_mu2,2,1.47662585390966e-05,15000
SYNTHETIC_GENE_082,PTV_like,2,LOEUF2,2,2.30106278210658e-05,15000
SYNTHETIC_GENE_083,PTV_like,3,LOEUF3,0,3.93425285046638e-05,15000
SYNTHETIC_GENE_084,PTV_like,4,LOEUF4,1,1.84764399191126e-05,15000
SYNTHETIC_GENE_085,PTV_like,5,LOEUF5,0,2.68270149334792e-05,15000
SYNTHETIC_GENE_086,PTV_like,1,LOEUF1_mu2,0,1.01346683375178e-05,15000
SYNTHETIC_GENE_087,PTV_like,2,LOEUF2,1,1.78769641225341e-05,15000
SYNTHETIC_GENE_088,PTV_like,3,LOEUF3,0,2.17269311316726e-05,15000
SYNTHETIC_GENE_089,PTV_like,4,LOEUF4,1,1.78508406601131e-05,15000
SYNTHETIC_GENE_090,PTV_like,5,LOEUF5,0,1.6018974535661e-05,15000
SYNTHETIC_GENE_091,PTV_like,1,LOEUF1_mu2,0,1.22981234678146e-05,15000
SYNTHETIC_GENE_092,PTV_like,2,LOEUF2,0,1.29326590728778e-05,15000
SYNTHETIC_GENE_093,PTV_like,3,LOEUF3,0,1.26909983556896e-05,15000
SYNTHETIC_GENE_094,PTV_like,4,LOEUF4,0,1.10462771418621e-05,15000
SYNTHETIC_GENE_095,PTV_like,5,LOEUF5,1,4.83010611096321e-05,15000
SYNTHETIC_GENE_096,PTV_like,1,LOEUF1_mu2,1,1.58775534192944e-05,15000
SYNTHETIC_GENE_097,PTV_like,2,LOEUF2,1,1.20223912584419e-05,15000
SYNTHETIC_GENE_098,PTV_like,3,LOEUF3,0,1.42112564563522e-05,15000
SYNTHETIC_GENE_099,PTV_like,4,LOEUF4,0,1.2098851730772e-05,15000
SYNTHETIC_GENE_100,PTV_like,5,LOEUF5,0,1.02582480664103e-05,15000
SYNTHETIC_GENE_101,PTV_like,1,LOEUF1_mu2,0,1.93293621960389e-05,15000
SYNTHETIC_GENE_102,PTV_like,2,LOEUF2,1,3.35559598529736e-05,15000
SYNTHETIC_GENE_103,PTV_like,3,LOEUF3,0,1.05466121330929e-05,15000
SYNTHETIC_GENE_104,PTV_like,4,LOEUF4,0,6.42028279283001e-06,15000
SYNTHETIC_GENE_105,PTV_like,5,LOEUF5,1,1.07157836783558e-05,15000
SYNTHETIC_GENE_106,PTV_like,1,LOEUF1_mu2,0,1.29043879452599e-05,15000
SYNTHETIC_GENE_107,PTV_like,2,LOEUF2,0,1.98350668226576e-05,15000
SYNTHETIC_GENE_108,PTV_like,3,LOEUF3,0,1.13149313271819e-05,15000
SYNTHETIC_GENE_109,PTV_like,4,LOEUF4,0,1.14327574522597e-05,15000
SYNTHETIC_GENE_110,PTV_like,5,LOEUF5,0,1.89915514263373e-05,15000
SYNTHETIC_GENE_111,PTV_like,1,LOEUF1_mu1,0,2.92961126351288e-05,15000
SYNTHETIC_GENE_112,PTV_like,2,LOEUF2,0,8.92543149484373e-06,15000
SYNTHETIC_GENE_113,PTV_like,3,LOEUF3,0,1.47428575333136e-05,15000
SYNTHETIC_GENE_114,PTV_like,4,LOEUF4,0,1.29691931917239e-05,15000
SYNTHETIC_GENE_115,PTV_like,5,LOEUF5,2,2.5022976265689e-05,15000
SYNTHETIC_GENE_116,PTV_like,1,LOEUF1_mu2,0,1.89156202892275e-05,15000
SYNTHETIC_GENE_117,PTV_like,2,LOEUF2,1,1.44668935721566e-05,15000
SYNTHETIC_GENE_118,PTV_like,3,LOEUF3,1,2.95838884721856e-05,15000
SYNTHETIC_GENE_119,PTV_like,4,LOEUF4,0,7.6132421616373e-06,15000
SYNTHETIC_GENE_120,PTV_like,5,LOEUF5,0,3.84561347955004e-05,15000
SYNTHETIC_GENE_121,missense_like,1,LOEUF1_mu2,0,8.60211184088897e-06,15000
SYNTHETIC_GENE_122,missense_like,2,LOEUF2,0,1.46217943187592e-05,15000
SYNTHETIC_GENE_123,missense_like,3,LOEUF3,0,2.25278445468319e-05,15000
SYNTHETIC_GENE_124,missense_like,4,LOEUF4,0,1.42235417068502e-05,15000
SYNTHETIC_GENE_125,missense_like,5,LOEUF5,0,1.13363946176085e-05,15000
SYNTHETIC_GENE_126,missense_like,1,LOEUF1_mu2,0,1.2980826630968e-05,15000
SYNTHETIC_GENE_127,missense_like,2,LOEUF2,2,2.2428469740215e-05,15000
SYNTHETIC_GENE_128,missense_like,3,LOEUF3,5,1.47915917128609e-05,15000
SYNTHETIC_GENE_129,missense_like,4,LOEUF4,1,9.15104882791139e-06,15000
SYNTHETIC_GENE_130,missense_like,5,LOEUF5,0,1.21461386985493e-05,15000
SYNTHETIC_GENE_131,missense_like,1,LOEUF1_mu2,0,2.01105294446762e-05,15000
SYNTHETIC_GENE_132,missense_like,2,LOEUF2,2,1.59422751500035e-05,15000
SYNTHETIC_GENE_133,missense_like,3,LOEUF3,1,1.61886514463047e-05,15000
SYNTHETIC_GENE_134,missense_like,4,LOEUF4,0,9.76164686033405e-06,15000
SYNTHETIC_GENE_135,missense_like,5,LOEUF5,1,9.5626909215563e-06,15000
SYNTHETIC_GENE_136,missense_like,1,LOEUF1_mu2,0,1.45169213706276e-05,15000
SYNTHETIC_GENE_137,missense_like,2,LOEUF2,0,8.09036317078115e-06,15000
SYNTHETIC_GENE_138,missense_like,3,LOEUF3,1,2.41279641310631e-05,15000
SYNTHETIC_GENE_139,missense_like,4,LOEUF4,0,4.0969987270185e-06,15000
SYNTHETIC_GENE_140,missense_like,5,LOEUF5,1,2.05828061612051e-05,15000
SYNTHETIC_GENE_141,missense_like,1,LOEUF1_mu2,3,1.80844761370789e-05,15000
SYNTHETIC_GENE_142,missense_like,2,LOEUF2,0,2.5459458705098e-05,15000
SYNTHETIC_GENE_143,missense_like,3,LOEUF3,0,1.66715814271392e-05,15000
SYNTHETIC_GENE_144,missense_like,4,LOEUF4,1,8.59504556228017e-06,15000
SYNTHETIC_GENE_145,missense_like,5,LOEUF5,0,1.65862281991115e-05,15000
SYNTHETIC_GENE_146,missense_like,1,LOEUF1_mu2,0,1.28133807961647e-05,15000
SYNTHETIC_GENE_147,missense_like,2,LOEUF2,0,1.5910013835757e-05,15000
SYNTHETIC_GENE_148,missense_like,3,LOEUF3,0,1.29147156077017e-05,15000
SYNTHETIC_GENE_149,missense_like,4,LOEUF4,0,1.64906866580642e-05,15000
SYNTHETIC_GENE_150,missense_like,5,LOEUF5,0,2.94709938845508e-05,15000
SYNTHETIC_GENE_151,missense_like,1,LOEUF1_mu2,0,1.57752057432929e-05,15000
SYNTHETIC_GENE_152,missense_like,2,LOEUF2,1,1.5478044462742e-05,15000
SYNTHETIC_GENE_153,missense_like,3,LOEUF3,1,2.02363062310892e-05,15000
SYNTHETIC_GENE_154,missense_like,4,LOEUF4,0,1.28300490024042e-05,15000
SYNTHETIC_GENE_155,missense_like,5,LOEUF5,0,1.64219599066698e-05,15000
SYNTHETIC_GENE_156,missense_like,1,LOEUF1_mu2,0,9.24338138750454e-06,15000
SYNTHETIC_GENE_157,missense_like,2,LOEUF2,0,1.49339813372999e-05,15000
SYNTHETIC_GENE_158,missense_like,3,LOEUF3,1,2.13547966136955e-05,15000
SYNTHETIC_GENE_159,missense_like,4,LOEUF4,2,1.24837938897858e-05,15000
SYNTHETIC_GENE_160,missense_like,5,LOEUF5,1,2.14930315865079e-05,15000
SYNTHETIC_GENE_161,missense_like,1,LOEUF1_mu2,2,2.05691868799298e-05,15000
SYNTHETIC_GENE_162,missense_like,2,LOEUF2,1,1.39942947775678e-05,15000
SYNTHETIC_GENE_163,missense_like,3,LOEUF3,1,1.79739213524851e-05,15000
SYNTHETIC_GENE_164,missense_like,4,LOEUF4,0,1.42603525013639e-05,15000
SYNTHETIC_GENE_165,missense_like,5,LOEUF5,8,3.74163234360163e-05,15000
SYNTHETIC_GENE_166,missense_like,1,LOEUF1_mu2,0,1.04928737833937e-05,15000
SYNTHETIC_GENE_167,missense_like,2,LOEUF2,0,1.97105348768601e-05,15000
SYNTHETIC_GENE_168,missense_like,3,LOEUF3,0,1.11089007149723e-05,15000
SYNTHETIC_GENE_169,missense_like,4,LOEUF4,0,4.57521127499266e-06,15000
SYNTHETIC_GENE_170,missense_like,5,LOEUF5,0,1.18050421345951e-05,15000
SYNTHETIC_GENE_171,missense_like,1,LOEUF1_mu2,0,1.05014414474079e-05,15000
SYNTHETIC_GENE_172,missense_like,2,LOEUF2,0,9.47362211542912e-06,15000
SYNTHETIC_GENE_173,missense_like,3,LOEUF3,0,2.79033373507304e-05,15000
SYNTHETIC_GENE_174,missense_like,4,LOEUF4,0,1.24552974079106e-05,15000
SYNTHETIC_GENE_175,missense_like,5,LOEUF5,0,2.10101688282438e-05,15000
SYNTHETIC_GENE_176,missense_like,1,LOEUF1_mu1,3,2.14360042208662e-05,15000
SYNTHETIC_GENE_177,missense_like,2,LOEUF2,1,2.26044523111535e-05,15000
SYNTHETIC_GENE_178,missense_like,3,LOEUF3,0,5.73844612357132e-06,15000
SYNTHETIC_GENE_179,missense_like,4,LOEUF4,0,7.84102381124896e-06,15000
SYNTHETIC_GENE_180,missense_like,5,LOEUF5,0,1.16789075045452e-05,15000
SYNTHETIC_GENE_181,missense_like,1,LOEUF1_mu1,2,2.52115290018279e-05,15000
SYNTHETIC_GENE_182,missense_like,2,LOEUF2,1,1.85123863991576e-05,15000
SYNTHETIC_GENE_183,missense_like,3,LOEUF3,1,2.65952521813454e-05,15000
SYNTHETIC_GENE_184,missense_like,4,LOEUF4,2,1.46285702801906e-05,15000
SYNTHETIC_GENE_185,missense_like,5,LOEUF5,0,2.12551873649219e-05,15000
SYNTHETIC_GENE_186,missense_like,1,LOEUF1_mu2,1,1.08019622442666e-05,15000
SYNTHETIC_GENE_187,missense_like,2,LOEUF2,0,8.97514871160542e-06,15000
SYNTHETIC_GENE_188,missense_like,3,LOEUF3,0,1.66751406149688e-05,15000
SYNTHETIC_GENE_189,missense_like,4,LOEUF4,0,9.01705765370444e-06,15000
SYNTHETIC_GENE_190,missense_like,5,LOEUF5,1,9.62352769404019e-06,15000
SYNTHETIC_GENE_191,missense_like,1,LOEUF1_mu1,8,3.36321638007284e-05,15000
SYNTHETIC_GENE_192,missense_like,2,LOEUF2,1,2.19705994442866e-05,15000
SYNTHETIC_GENE_193,missense_like,3,LOEUF3,1,1.33907172180799e-05,15000
SYNTHETIC_GENE_194,missense_like,4,LOEUF4,0,3.26553108585652e-05,15000
SYNTHETIC_GENE_195,missense_like,5,LOEUF5,1,1.73861092403493e-05,15000
SYNTHETIC_GENE_196,missense_like,1,LOEUF1_mu2,0,1.37081119214431e-05,15000
SYNTHETIC_GENE_197,missense_like,2,LOEUF2,0,2.31256067873888e-05,15000
SYNTHETIC_GENE_198,missense_like,3,LOEUF3,1,6.95423528823194e-06,15000
SYNTHETIC_GENE_199,missense_like,4,LOEUF4,0,2.54104070097736e-05,15000
SYNTHETIC_GENE_200,missense_like,5,LOEUF5,1,9.64425819466716e-06,15000
SYNTHETIC_GENE_201,missense_like,1,LOEUF1_mu2,0,1.3749897068951e-05,15000
SYNTHETIC_GENE_202,missense_like,2,LOEUF2,1,2.3971898533026e-05,15000
SYNTHETIC_GENE_203,missense_like,3,LOEUF3,0,2.63925741948111e-05,15000
SYNTHETIC_GENE_204,missense_like,4,LOEUF4,1,1.93643888804371e-05,15000
SYNTHETIC_GENE_205,missense_like,5,LOEUF5,0,1.52200196568995e-05,15000
SYNTHETIC_GENE_206,missense_like,1,LOEUF1_mu1,1,2.47113110225803e-05,15000
SYNTHETIC_GENE_207,missense_like,2,LOEUF2,0,1.42111292245104e-05,15000
SYNTHETIC_GENE_208,missense_like,3,LOEUF3,0,8.8920171409972e-06,15000
SYNTHETIC_GENE_209,missense_like,4,LOEUF4,1,1.19571482523564e-05,15000
SYNTHETIC_GENE_210,missense_like,5,LOEUF5,1,1.13265676399568e-05,15000
SYNTHETIC_GENE_211,missense_like,1,LOEUF1_mu2,0,1.14518217974761e-05,15000
SYNTHETIC_GENE_212,missense_like,2,LOEUF2,3,1.91425015369145e-05,15000
SYNTHETIC_GENE_213,missense_like,3,LOEUF3,1,1.68681454156367e-05,15000
SYNTHETIC_GENE_214,missense_like,4,LOEUF4,0,2.28846280577529e-05,15000
SYNTHETIC_GENE_215,missense_like,5,LOEUF5,1,1.91707570113158e-05,15000
SYNTHETIC_GENE_216,missense_like,1,LOEUF1_mu2,0,8.44886780902586e-06,15000
SYNTHETIC_GENE_217,missense_like,2,LOEUF2,0,2.32329278887101e-05,15000
SYNTHETIC_GENE_218,missense_like,3,LOEUF3,0,1.43605738195139e-05,15000
SYNTHETIC_GENE_219,missense_like,4,LOEUF4,2,1.57029276546446e-05,15000
SYNTHETIC_GENE_220,missense_like,5,LOEUF5,0,1.35524029545929e-05,15000
SYNTHETIC_GENE_221,missense_like,1,LOEUF1_mu2,0,7.59101927988114e-06,15000
SYNTHETIC_GENE_222,missense_like,2,LOEUF2,0,1.16137030448068e-05,15000
SYNTHETIC_GENE_223,missense_like,3,LOEUF3,0,7.94081062262772e-06,15000
SYNTHETIC_GENE_224,missense_like,4,LOEUF4,0,7.93937741414694e-06,15000
SYNTHETIC_GENE_225,missense_like,5,LOEUF5,3,7.63220418970853e-06,15000
SYNTHETIC_GENE_226,missense_like,1,LOEUF1_mu2,0,1.03293977432461e-05,15000
SYNTHETIC_GENE_227,missense_like,2,LOEUF2,0,1.16611191903891e-05,15000
SYNTHETIC_GENE_228,missense_like,3,LOEUF3,0,1.23521399054187e-05,15000
SYNTHETIC_GENE_229,missense_like,4,LOEUF4,2,1.76836626638507e-05,15000
SYNTHETIC_GENE_230,missense_like,5,LOEUF5,0,2.16755795027041e-05,15000
SYNTHETIC_GENE_231,missense_like,1,LOEUF1_mu2,0,1.8031235590447e-05,15000
SYNTHETIC_GENE_232,missense_like,2,LOEUF2,0,9.29329749803764e-06,15000
SYNTHETIC_GENE_233,missense_like,3,LOEUF3,1,1.7642237843036e-05,15000
SYNTHETIC_GENE_234,missense_like,4,LOEUF4,2,7.36717308093592e-06,15000
SYNTHETIC_GENE_235,missense_like,5,LOEUF5,1,1.31925010827037e-05,15000
SYNTHETIC_GENE_236,missense_like,1,LOEUF1_mu2,0,1.80101210805692e-05,15000
SYNTHETIC_GENE_237,missense_like,2,LOEUF2,1,2.15991456834372e-05,15000
SYNTHETIC_GENE_238,missense_like,3,LOEUF3,0,1.41210403906491e-05,15000
SYNTHETIC_GENE_239,missense_like,4,LOEUF4,0,2.93692665261935e-05,15000
SYNTHETIC_GENE_240,missense_like,5,LOEUF5,0,6.29129247645661e-06,15000
