gene_id,gene_symbol,chromosome,loeuf,loeuf_quintile,analysis_stratum,mutation_rate_correction,mu_snp_PTV,mu_snp_Mis2,mu_snp_Mis1,mu_snp_Mis0,mu_snp_Syn,corrected_mu_snp_PTV,corrected_mu_snp_Mis2,corrected_mu_snp_Mis1,corrected_mu_snp_Mis0,corrected_mu_snp_Syn
ENSG00000001630,CYP51A1,7,1.011,3,LOEUF3,0.91336804944741,1.2483e-06,0,4.5363e-08,1.4264e-05,4.5351e-06,1.1401573361252e-06,0,4.14331148270828e-08,1.30282818573179e-05,4.14221544104895e-06
ENSG00000001631,KRIT1,7,0.499,2,LOEUF2,0.962982402563046,2.6108e-06,1.7106e-07,2.0249e-06,1.7413e-05,6.0295e-06,2.5141544566116e-06,1.64727769782435e-07,1.94994306694991e-06,1.67684125758303e-05,5.80630239625389e-06
ENSG00000002016,RAD52,12,1.109,4,LOEUF4,0.93796812352758,1.3856e-06,0,1.6077e-06,1.175e-05,5.8004e-06,1.29964863195981e-06,0,1.50797135219529e-06,1.10211254514491e-05,5.44059030370937e-06
ENSG00000002330,BAD,11,1.533,5,LOEUF5,1.35523060642114,5.1735e-07,0,1.4428e-07,5.1829e-06,2.1724e-06,7.01128554231978e-07,0,1.95532671894442e-07,7.02402471002014e-06,2.94410296938929e-06
ENSG00000002549,LAP3,4,0.897,3,LOEUF3,1.05620376226239,1.3446e-06,9.1099e-08,1.7456e-06,1.4293e-05,7.6293e-06,1.42017157873801e-06,9.62191065383418e-08,1.84370928740523e-06,1.50963203740164e-05,8.05809536342848e-06
ENSG00000002587,HS3ST1,4,1.113,4,LOEUF4,1.00939323696224,5.5097e-07,1.2271e-07,2.083e-06,1.0773e-05,6.8182e-06,5.56145391769086e-07,1.23862644107637e-07,2.10256611259235e-06,1.08741933417942e-05,6.88224496825595e-06
ENSG00000002726,AOC1,7,0.969,3,LOEUF3,0.93885512652446,1.5134e-06,0,1.5573e-07,3.0576e-05,1.4109e-05,1.42086334848212e-06,0,1.46207908853654e-07,2.87064343486119e-05,1.32463069801336e-05
ENSG00000002745,WNT16,7,1.172,4,LOEUF4,0.965069147870082,8.4388e-07,0,1.6024e-06,8.8985e-06,4.2071e-06,8.14402552504605e-07,0,1.54642680254702e-06,8.58766781232193e-06,4.06014241200422e-06
ENSG00000002746,HECW1,7,0.253,1,LOEUF1_mu1,0.992372077901328,5.8573e-06,4.4471e-06,1.2445e-05,4.3592e-05,2.7767e-05,5.81262097189145e-06,4.413177867635e-06,1.2350070509482e-05,4.32594836198747e-05,2.75551954870862e-05
ENSG00000002822,MAD1L1,7,0.969,3,LOEUF3,1.19935915586725,2.28e-06,0,3.9265e-07,3.1242e-05,1.4144e-05,2.73453887537734e-06,0,4.70928372551278e-07,3.74703787476048e-05,1.69637359005865e-05
ENSG00000002834,LASP1,17,0.283,1,LOEUF1_mu2,0.956829024994002,1.0159e-06,2.5027e-06,5.1114e-06,5.4885e-06,6.3052e-06,9.72042606491406e-07,2.39465600085249e-06,4.89073587835434e-06,5.25155610367958e-06,6.03299836839218e-06
ENSG00000002919,SNX11,17,1.109,4,LOEUF4,0.945410416173215,1.4003e-06,2.5887e-08,1.0044e-06,7.1328e-06,2.9302e-06,1.32385820576735e-06,2.4473839443476e-08,9.49570222004377e-07,6.7434234164803e-06,2.77024160147075e-06
ENSG00000002933,TMEM176A,7,0.933,3,LOEUF3,1.01384804562261,4.2067e-07,0,9.745e-08,6.4635e-06,2.8786e-06,4.26495457352064e-07,0,9.87994920459236e-08,6.55300684288176e-06,2.91846298412925e-06
ENSG00000003056,M6PR,12,0.763,3,LOEUF3,0.933070616109311,1.3456e-06,1.1581e-07,3.2133e-07,7.8682e-06,2.8362e-06,1.25553982103669e-06,1.08058908051619e-07,2.99823581074405e-07,7.34158622167128e-06,2.64637488140923e-06
ENSG00000003137,CYP26B1,2,0.29,1,LOEUF1_mu2,1.00202449392553,8.0422e-07,3.173e-08,1.1109e-06,1.9782e-05,9.7522e-06,8.05848138504788e-07,3.1794237192257e-08,1.11314901030187e-06,1.98220485388348e-05,9.77194326966053e-06
ENSG00000003147,ICA1,7,0.577,2,LOEUF2,0.969496463956636,1.919e-06,0,2.345e-06,1.16e-05,6.3137e-06,1.86046371433278e-06,0,2.27346920797831e-06,1.1246158981897e-05,6.12110982448301e-06
ENSG00000003249,DBNDD1,16,1.531,5,LOEUF5,1.05749684081983,6.944e-07,0,1.9214e-07,1.088e-05,6.2072e-06,7.34325806265287e-07,0,2.03187442995121e-07,1.15055656281197e-05,6.56409439033682e-06
ENSG00000003393,ALS2,2,0.516,2,LOEUF2,0.939118708806843,5.806e-06,7.714e-07,5.2816e-06,3.9597e-05,1.8638e-05,5.45252322333253e-06,7.24436171973599e-07,4.96004937243422e-06,3.71862835126246e-05,1.75032944947419e-05
ENSG00000003400,CASP10,2,1.287,4,LOEUF4,0.942530155387663,1.5864e-06,0,2.8179e-07,1.519e-05,6.6617e-06,1.49522983850699e-06,0,2.6559557248669e-07,1.43170330603386e-05,6.278853136146e-06
ENSG00000003402,CFLAR,2,0.173,1,LOEUF1_mu2,0.955179132385429,2.1628e-06,1.0018e-07,3.4922e-06,8.9699e-06,5.0254e-06,2.0658614275232e-06,9.56898454823722e-08,3.33567656611639e-06,8.56786129958406e-06,4.80015721188973e-06
ENSG00000003436,TFPI,2,0.564,2,LOEUF2,0.931855340361966,1.2662e-06,4.1701e-07,6.2162e-07,7.1644e-06,2.9423e-06,1.17991523196632e-06,3.88592995484344e-07,5.79259916675806e-07,6.67618440048927e-06,2.74179796794701e-06
ENSG00000003509,NDUFAF7,2,1.582,5,LOEUF5,1.06353750375923,1.6052e-06,0,3.0371e-07,1.1603e-05,4.3702e-06,1.70719040103432e-06,0,3.23006975266716e-07,1.23402256561184e-05,4.64787159892859e-06
ENSG00000003756,RBM5,3,0.135,1,LOEUF1_mu2,0.921092693680945,3.9608e-06,5.2107e-06,1.0297e-05,1.2383e-05,1.0849e-05,3.64826394113149e-06,4.7995376989633e-06,9.48449146683269e-06,1.14058908258511e-05,9.99293463374457e-06
ENSG00000003987,MTMR7,8,0.982,3,LOEUF3,1.20608118999623,2.3299e-06,0,3.5663e-06,1.7807e-05,8.0678e-06,2.81004856457222e-06,0,4.30124734788357e-06,2.14766877502629e-05,9.73042182465161e-06
ENSG00000003989,SLC7A2,8,1.014,3,LOEUF3,1.0933567176243,1.5815e-06,0,3.2802e-06,1.8291e-05,1.0858e-05,1.72914364892283e-06,0,3.58642870515122e-06,1.99985877220661e-05,1.18716672399646e-05
ENSG00000004059,ARF5,7,0.33,1,LOEUF1_mu2,1.04735352083143,5.4454e-07,1.6688e-06,1.6237e-06,3.4682e-06,2.8578e-06,5.70325886233546e-07,1.74782355556349e-06,1.70058791177399e-06,3.63243148094756e-06,2.99312689183205e-06
ENSG00000004139,SARM1,17,1.143,4,LOEUF4,1.1031659436336,1.3499e-06,4.2993e-07,1.4613e-06,2.1399e-05,1.0986e-05,1.489163707311e-06,4.74284134146393e-07,1.61205639343178e-06,2.36066480278154e-05,1.21193810567587e-05
ENSG00000004142,POLDIP2,17,0.464,2,LOEUF2,1.03647713412942,1.0094e-06,1.4387e-06,3.5226e-06,8.0701e-06,4.3277e-06,1.04622001919024e-06,1.491179652872e-06,3.6510943526843e-06,8.36447412013783e-06,4.48556209337189e-06
ENSG00000004399,PLXND1,3,0.157,1,LOEUF1_mu1,1.0972834995301,5.2826e-06,2.6464e-06,6.7721e-06,7.0256e-05,3.9468e-05,5.79650981461769e-06,2.90385105315645e-06,7.43091358716777e-06,7.70907495429865e-05,4.33075851594539e-05
ENSG00000004455,AK2,1,1.223,4,LOEUF4,0.973603415070245,8.7346e-07,0,1.6071e-06,5.6806e-06,3.1702e-06,8.50403638927256e-07,0,1.56467804835939e-06,5.53065155964803e-06,3.08651754645569e-06
ENSG00000004468,CD38,4,1.126,4,LOEUF4,0.957828245616573,8.0949e-07,0,5.4191e-08,7.7084e-06,3.1179e-06,7.7535238654416e-07,0,5.19056704582077e-08,7.38332324851079e-06,2.98641268700791e-06
ENSG00000004478,FKBP4,12,0.504,2,LOEUF2,1.02596530581182,1.3704e-06,3.3294e-07,2.3055e-06,1.1758e-05,5.6382e-06,1.40598285508451e-06,3.41584888916986e-07,2.36536301254914e-06,1.20633000657353e-05,5.78459758722818e-06
ENSG00000004487,KDM1A,1,0.276,1,LOEUF1_mu1,0.988482074543696,2.9328e-06,9.091e-06,8.0696e-06,1.0019e-05,1.0809e-05,2.89902022822175e-06,8.98629053967674e-06,7.97665494873781e-06,9.90360190485329e-06,1.06845027437428e-05
ENSG00000004534,RBM6,3,0.136,1,LOEUF1_mu1,0.910800970703863,4.773e-06,1.3948e-06,5.5013e-06,2.7645e-05,1.1711e-05,4.34725303316954e-06,1.27038519393775e-06,5.01058938013316e-06,2.51790928351083e-05,1.06663901679129e-05
ENSG00000004660,CAMKK1,17,0.634,2,LOEUF2,0.943315352184931,1.8008e-06,1.0851e-07,1.8639e-06,1.8114e-05,9.2796e-06,1.69872228621462e-06,1.02359148865587e-07,1.75824548493749e-06,1.70872142894778e-05,8.75358914213528e-06
ENSG00000004700,RECQL,12,1.308,4,LOEUF4,0.957937098615897,1.3738e-06,0,2.1166e-06,1.4763e-05,6.7539e-06,1.31601398607852e-06,0,2.02756966293041e-06,1.41420253868665e-05,6.46981137034191e-06
ENSG00000004766,VPS50,7,0.333,1,LOEUF1_mu2,0.989855489951557,3.605e-06,1.5704e-06,3.8908e-06,1.8939e-05,8.6139e-06,3.56842904127536e-06,1.55446906141992e-06,3.85132974030352e-06,1.87468731241925e-05,8.52651620489372e-06
ENSG00000004776,HSPB6,19,1.347,4,LOEUF4,1.29092521302362,3.7307e-07,1.0278e-07,1.5199e-06,3.7057e-06,2.7885e-06,4.81605469222722e-07,1.32681293394568e-07,1.9620772312746e-06,4.78378156190163e-06,3.59974495651636e-06
ENSG00000004777,ARHGAP33,19,0.406,1,LOEUF1_mu1,0.96872364493111,3.8195e-06,0,2.8623e-06,4.5022e-05,2.108e-05,3.70003996181437e-06,0,2.77277768888631e-06,4.36138759420884e-05,2.04206944351478e-05
ENSG00000004779,NDUFAB1,16,0.749,3,LOEUF3,1.02140509427544,3.1661e-07,0,2.8712e-07,4.5854e-06,2.0037e-06,3.23387066898546e-07,0,2.93265830668363e-07,4.68355091929059e-06,2.04658938739969e-06
ENSG00000004799,PDK4,7,1.241,4,LOEUF4,1.00687332694353,1.3899e-06,0,1.6681e-06,9.6607e-06,3.9364e-06,1.39945323711881e-06,0,1.6795653966745e-06,9.72710114960338e-06,3.96345616418052e-06
ENSG00000004809,SLC22A16,6,1.846,5,LOEUF5,1.01284337825328,1.4131e-06,0,7.1027e-07,1.5013e-05,6.8571e-06,1.43124897780971e-06,0,7.19392266271958e-07,1.52058176377165e-05,6.94516832902058e-06
ENSG00000004838,ZMYND10,3,0.859,3,LOEUF3,0.924434431242185,1.7619e-06,1.046e-08,2.13e-07,1.3823e-05,5.3975e-06,1.62876102440561e-06,9.66958415079326e-09,1.96904533854585e-07,1.27784571430607e-05,4.9896348426297e-06
ENSG00000004846,ABCB5,7,1.127,4,LOEUF4,1.12037332636513,4.5904e-06,0,6.1209e-08,3.3765e-05,1.3476e-05,5.14296171734651e-06,0,6.85769309334834e-08,3.78294053647187e-05,1.50981509460965e-05
ENSG00000004864,SLC25A13,7,1.237,4,LOEUF4,0.910134653653668,2.7951e-06,0,3.4846e-06,1.632e-05,7.5308e-06,2.54391737042737e-06,0,3.17145521412157e-06,1.48533975476279e-05,6.85404204973504e-06
ENSG00000004866,ST7,7,0.264,1,LOEUF1_mu2,0.986094557626852,2.6994e-06,5.7552e-06,6.3891e-06,8.0281e-06,6.7822e-06,2.66186364885792e-06,5.67517139805406e-06,6.30025673813372e-06,7.91646571808413e-06,6.68789050873683e-06
ENSG00000004897,CDC27,17,0.273,1,LOEUF1_mu2,0.987661381175563,2.7013e-06,2.9381e-06,4.5984e-06,1.2898e-05,7.5921e-06,2.66796968896955e-06,2.90184790403192e-06,4.54166209519771e-06,1.27388564944024e-05,7.49842397202299e-06
ENSG00000004939,SLC4A1,17,0.349,1,LOEUF1_mu1,0.923771996778613,2.5874e-06,9.2767e-07,3.2063e-06,3.1162e-05,1.5729e-05,2.39016766446498e-06,8.56955568251616e-07,2.96189015327127e-06,2.87865829636151e-05,1.45300097373308e-05
ENSG00000004948,CALCR,7,0.928,3,LOEUF3,0.99457923750168,1.9602e-06,0,1.5374e-06,1.4228e-05,6.1056e-06,1.94957422135079e-06,0,1.52906611973508e-06,1.41508733911739e-05,6.07250299249025e-06
ENSG00000004975,DVL2,17,0.657,2,LOEUF2,1.04612932016812,2.5765e-06,0,4.8808e-06,2.4085e-05,1.3036e-05,2.69535219341316e-06,0,5.10594798587656e-06,2.51960246762491e-05,1.36373418177116e-05
ENSG00000005001,PRSS22,16,0.94,3,LOEUF3,1.27136081624827,7.4223e-07,1.2166e-07,3.6742e-07,1.0549e-05,4.9328e-06,9.43642138643953e-07,1.54673756904764e-07,4.67123391105939e-07,1.3411585250603e-05,6.27136863438946e-06
ENSG00000005007,UPF1,19,0.162,1,LOEUF1_mu1,1.00194144275157,2.6084e-06,1.5441e-05,1.1586e-05,2.2177e-05,2.5097e-05,2.6134640592732e-06,1.5470977817527e-05,1.16084935557197e-05,2.22200553759016e-05,2.51457243887362e-05
ENSG00000005020,SKAP2,7,0.67,2,LOEUF2,1.1082978107164,1.4046e-06,2.6285e-07,8.4852e-07,8.0736e-06,3.1374e-06,1.55671510493226e-06,2.91316079546806e-07,9.40412858349081e-07,8.94795320459994e-06,3.47717355134164e-06
ENSG00000005059,MCUB,4,1.351,4,LOEUF4,0.930910682578421,8.7688e-07,0,3.2479e-08,8.4613e-06,3.5169e-06,8.16296959339366e-07,0,3.02350480594645e-08,7.87671455850079e-06,3.27391977956005e-06
ENSG00000005073,HOXA11,7,0.329,1,LOEUF1_mu2,1.03900907496259,4.9695e-07,1.2973e-06,1.0213e-06,6.5694e-06,4.3201e-06,5.16335559802658e-07,1.34790647294897e-06,1.06113996825929e-06,6.82566621705923e-06,4.48862310474588e-06
ENSG00000005075,POLR2J,7,1.365,4,LOEUF4,0.949699943575087,6.0853e-07,6.352e-07,1.4846e-06,1.7526e-06,1.6748e-06,5.77920906663748e-07,6.03249404158895e-07,1.40992453623157e-06,1.6644441211097e-06,1.59055746549956e-06
ENSG00000005100,DHX33,17,0.678,2,LOEUF2,0.949525099747338,1.9814e-06,0,3.0148e-06,2.181e-05,1.1023e-05,1.88138903263937e-06,0,2.86262827071827e-06,2.07091424254894e-05,1.04666151745149e-05
ENSG00000005102,MEOX1,17,1.268,4,LOEUF4,0.987060895668422,7.4424e-07,0,1.5212e-06,8.0551e-06,4.0601e-06,7.34610200992266e-07,0,1.5015170344908e-06,7.9508742206987e-06,4.00756594250336e-06
ENSG00000005108,THSD7A,7,0.215,1,LOEUF1_mu1,1.25222271103356,6.6422e-06,1.5222e-07,5.3742e-06,4.3993e-05,1.9577e-05,8.31751369122713e-06,1.90613341073529e-07,6.72969529363657e-06,5.50890337264995e-05,2.45147640139041e-05
ENSG00000005156,LIG3,17,0.682,2,LOEUF2,0.900489096471507,3.2745e-06,4.439e-07,5.4425e-06,2.7882e-05,1.3149e-05,2.94865154639595e-06,3.99727109923702e-07,4.90091190754618e-06,2.51074369878185e-05,1.18405311295038e-05
ENSG00000005175,RPAP3,12,0.581,2,LOEUF2,0.977528320168592,2.3932e-06,0,9.8853e-07,1.5561e-05,6.3608e-06,2.33942077582748e-06,0,9.66316070336259e-07,1.52113181901435e-05,6.21786213892838e-06
ENSG00000005187,ACSM3,16,1.055,3,LOEUF3,0.916156618502,2.4349e-06,0,3.1907e-07,1.5364e-05,5.8457e-06,2.23074975039052e-06,0,2.92318092265433e-07,1.40758302866647e-05,5.35557674477714e-06
ENSG00000005189,REXO5,16,0.856,3,LOEUF3,0.923239852480752,2.227e-06,7.8588e-09,1.1935e-06,1.8982e-05,8.11e-06,2.05605515147464e-06,7.25555735267574e-09,1.10188676393578e-06,1.75249388797896e-05,7.4874752036189e-06
ENSG00000005194,CIAPIN1,16,0.836,3,LOEUF3,0.952657103631632,9.3342e-07,1.1183e-07,1.8526e-06,7.0747e-06,3.4661e-06,8.89229193671838e-07,1.06535643899125e-07,1.76489255018796e-06,6.73976321106271e-06,3.3020047868976e-06
ENSG00000005238,FAM214B,9,0.419,1,LOEUF1_mu2,0.977108063999195,1.0397e-06,3.4685e-07,1.505e-06,1.7827e-05,7.1325e-06,1.01589925413996e-06,3.38909931998121e-07,1.47054763631879e-06,1.74189054569137e-05,6.96922326647426e-06
ENSG00000005243,COPZ2,17,1.614,5,LOEUF5,0.961754789095814,7.5469e-07,0,3.57e-07,7.3667e-06,4.0272e-06,7.2582672178272e-07,0,3.43346459707206e-07,7.08495900483214e-06,3.87317888664666e-06
ENSG00000005249,PRKAR2B,7,0.22,1,LOEUF1_mu2,1.05902635841882,1.2734e-06,1.7998e-06,3.0606e-06,7.5741e-06,5.0936e-06,1.34856416481053e-06,1.90603563988219e-06,3.24125607257664e-06,8.02117154129999e-06,5.3942566592421e-06
ENSG00000005339,CREBBP,16,0.066,1,LOEUF1_mu1,1.1462582226296,7.7196e-06,9.488e-06,1.9425e-05,6.2963e-05,3.9535e-05,8.84865497541148e-06,1.08756980163097e-05,2.226606597458e-05,7.21718564714276e-05,4.53173188316613e-05
ENSG00000005379,TSPOAP1,17,0.361,1,LOEUF1_mu1,0.935224701753374,5.7067e-06,2.0431e-08,1.5706e-06,6.3923e-05,2.7469e-05,5.33704680549598e-06,1.91075758815232e-08,1.46886391657385e-06,5.97823686101809e-05,2.56896873324634e-05
ENSG00000005381,MPO,17,1.145,4,LOEUF4,0.97758306018522,1.9474e-06,0,2.0259e-06,2.5377e-05,1.1184e-05,1.9037452514047e-06,0,1.98048552162924e-06,2.48081253183203e-05,1.09332889451115e-05
ENSG00000005421,PON1,7,1.29,4,LOEUF4,0.953247816807971,1.154e-06,0,6.6702e-08,8.4986e-06,3.8134e-06,1.1000479805964e-06,0,6.35835358767253e-08,8.10127189592422e-06,3.63511522461552e-06
ENSG00000005436,GCFC2,2,1.167,4,LOEUF4,1.37136475408526,2.6486e-06,0,5.9927e-08,1.9134e-05,6.7187e-06,3.63219668767023e-06,0,8.21817756180677e-08,2.62396932046674e-05,9.21378837327267e-06
ENSG00000005448,WDR54,2,1.311,4,LOEUF4,0.957077263412629,7.2178e-07,0,8.3787e-08,1.0237e-05,4.459e-06,6.90799227185967e-07,0,8.01906326695539e-08,9.79759994555508e-06,4.26760751755691e-06
ENSG00000005469,CROT,7,1.173,4,LOEUF4,0.91244867455429,3.0849e-06,0,7.1242e-07,1.6792e-05,6.0205e-06,2.81481291613253e-06,0,6.50046684725967e-07,1.53218381431156e-05,5.4933972451541e-06
ENSG00000005471,ABCB4,7,0.508,2,LOEUF2,0.902062610162669,4.2258e-06,2.6923e-07,3.5824e-06,3.2272e-05,1.5343e-05,3.81193617802541e-06,2.42862316534095e-07,3.23154909464675e-06,2.91113645551696e-05,1.38403466277258e-05
ENSG00000005483,KMT2E,7,0.06,1,LOEUF1_mu1,0.997007259117729,4.5626e-06,2.5696e-06,6.1717e-06,4.1195e-05,1.8868e-05,4.54894532045055e-06,2.56190985302892e-06,6.15322970109689e-06,4.10717140393548e-05,1.88115329650333e-05
ENSG00000005486,RHBDD2,7,0.529,2,LOEUF2,1.02949742179933,7.5824e-07,0,8.2359e-07,1.2376e-05,7.1733e-06,7.80606125105124e-07,0,8.4788378161971e-07,1.27410600921885e-05,7.38489385579313e-06
ENSG00000005513,SOX8,16,0.512,2,LOEUF2,1.42124125590885,7.826e-07,1.3956e-06,4.0717e-06,1.665e-05,1.3318e-05,1.11226340687427e-06,1.9834842967464e-06,5.78686802168408e-06,2.36636669108824e-05,1.89280910461941e-05
ENSG00000005700,IBTK,6,0.413,1,LOEUF1_mu1,0.941252447436081,4.0857e-06,7.0551e-07,4.7497e-06,2.7472e-05,1.2044e-05,3.84567512448959e-06,6.64063014190629e-07,4.47066674958715e-06,2.5858087235964e-05,1.13364444769202e-05
ENSG00000005801,ZNF195,11,1.15,4,LOEUF4,0.915113856083983,1.317e-06,1.698e-07,5.5177e-07,1.426e-05,6.0674e-06,1.20520494846261e-06,1.5538633276306e-07,5.04932372371459e-07,1.30495235877576e-05,5.55236181040396e-06
ENSG00000005810,MYCBP2,13,0.115,1,LOEUF1_mu1,0.946329734228993,1.4669e-05,1.418e-05,3.2583e-05,7.6778e-05,4.5766e-05,1.38817108714051e-05,1.34189556313671e-05,3.08342617303833e-05,7.26573043346336e-05,4.33097266167241e-05
ENSG00000005812,FBXL3,13,0.288,1,LOEUF1_mu2,1.01098833914289,1.0641e-06,1.5015e-06,5.2747e-06,5.4121e-06,4.0095e-06,1.07579269168195e-06,1.51799899122305e-06,5.33266019247701e-06,5.47156999027525e-06,4.05355774579343e-06
ENSG00000005844,ITGAL,16,0.412,1,LOEUF1_mu1,0.933817156593089,3.5807e-06,2.1952e-07,2.8146e-06,3.4408e-05,1.7258e-05,3.34371909261287e-06,2.04991542215315e-07,2.62832176894691e-06,3.2130780724055e-05,1.61158164884835e-05
ENSG00000005882,PDK2,17,0.919,3,LOEUF3,1.00016626758292,1.1761e-06,1.131e-06,3.0566e-06,1.1545e-05,7.2158e-06,1.17629554730427e-06,1.13118804863628e-06,3.05710821349394e-06,1.15469195592448e-05,7.2169997536248e-06
ENSG00000005884,ITGA3,17,0.534,2,LOEUF2,0.960388315491968,4.1628e-06,6.2363e-07,1.8785e-06,3.656e-05,1.7256e-05,3.99790447972996e-06,5.98926965190256e-07,1.80408945065166e-06,3.51117968143863e-05,1.65724607721294e-05
ENSG00000005961,ITGA2B,17,0.756,3,LOEUF3,0.944397036971056,3.9147e-06,5.1684e-08,1.6136e-06,3.2509e-05,1.62e-05,3.69703108063059e-06,4.8810216458812e-08,1.5238790588565e-06,3.07014032748921e-05,1.52992319989311e-05
ENSG00000005981,ASB4,7,1.414,4,LOEUF4,0.954398772113264,8.1515e-07,0,1.0838e-06,1.0736e-05,5.4143e-06,7.77978159088127e-07,0,1.03437738921635e-06,1.0246425217408e-05,5.16740127185284e-06
ENSG00000006007,GDE1,16,1.172,4,LOEUF4,1.05958203110796,9.3494e-07,5.127e-09,3.7996e-07,8.6302e-06,3.8509e-06,9.90645624164076e-07,5.43247707349051e-09,4.0259878853978e-07,9.14440484486792e-06,4.08034444359364e-06
ENSG00000006015,REX1BD,19,1.443,5,LOEUF5,1.49349518333275,5.9547e-07,5.9669e-09,1.6095e-07,6.1565e-06,3.1245e-06,8.89331576819155e-07,8.9115364094282e-09,2.40378049757407e-07,9.1947030961881e-06,4.66642570032319e-06
ENSG00000006016,CRLF1,19,0.908,3,LOEUF3,1.00246924340806,1.0358e-06,0,1.2686e-06,1.4635e-05,7.875e-06,1.03835764232207e-06,0,1.27173248218746e-06,1.46711373772769e-05,7.89444529183845e-06
ENSG00000006025,OSBPL7,17,0.444,2,LOEUF2,0.980806253024135,3.5412e-06,6.0164e-07,3.6022e-06,3.1091e-05,1.4041e-05,3.47323110320907e-06,5.90092274069441e-07,3.53306028464354e-06,3.04942472127734e-05,1.37715005987119e-05
ENSG00000006042,TMEM98,17,0.886,3,LOEUF3,0.953028506710342,1.088e-06,5.127e-09,9.6025e-07,6.5938e-06,3.4036e-06,1.03689501530085e-06,4.88617715390392e-09,9.15145623568606e-07,6.28407936754665e-06,3.24372782543932e-06
ENSG00000006047,YBX2,17,0.15,1,LOEUF1_mu2,0.978207746063824,2.045e-06,4.8485e-07,2.2028e-06,1.3305e-05,5.1725e-06,2.00043484070052e-06,4.74284025679045e-07,2.15479602302939e-06,1.30150540613792e-05,5.05977956651513e-06
